state,division
Alabama,6
Alaska,9
Arizona,8
Arkansas,7
California,9
Colorado,8
Connecticut,1
Delaware,5
District of Columbia,5
Florida,5
Georgia,5
Hawaii,9
Idaho,8
Illinois,3
Indiana,3
Iowa,4
Kansas,4
Kentucky,6
Louisiana,7
Maine,1
Maryland,5
Massachusetts,1
Michigan,3
Minnesota,4
Mississippi,6
Missouri,4
Montana,8
Nebraska,4
Nevada,8
New Hampshire,1
New Jersey,2
New Mexico,8
New York,2
North Carolina,5
North Dakota,4
Ohio,3
Oklahoma,7
Oregon,9
Pennsylvania,2
Rhode Island,1
South Carolina,5
South Dakota,4
Tennessee,6
Texas,7
Utah,8
Vermont,1
Virginia,5
Washington,9
West Virginia,5
Wisconsin,3
Wyoming,8
